Image Name,Detected Text,X,Y,W,H,Confidence
1,RENISHAW,37,307,584,140,0.9993
1,OmP6O,153,422,399,117,0.7003
1,MADE IN IRELAND,149,544,405,62,0.9559
1,SERIAL No. 6EC427,134,613,423,56,0.6871
2,IN,480,578,56,48,0.9993
2,RENISHAW,208,292,607,227,0.9157
2,rmp6o,355,424,390,184,0.3124
2,MADE,333,547,151,75,0.9996
2,IRELAND,526,577,194,92,0.9312
2,SERIAL,307,608,180,78,0.9339
2,NO,476,635,92,66,0.5722
2,1XAK27,558,650,160,80,0.5556
3,5,496,77,306,390,0.3120
3,7,404,228,176,197,0.1338
3,Ke,407,775,192,168,0.1978
4,3,282,52,72,74,0.5559
4,8,538,254,50,74,0.9990
4,1,963,151,52,170,0.4734
4,2,522,326,24,26,0.4478
4,1 2,894,322,126,76,0.2587
4,1,527,18,82,236,0.0579
4,1,211,106,210,581,0.2876
4,8,340,136,152,456,0.4330
4,1,513,331,142,327,0.9120
4,1,980,390,52,152,0.3593
5,2WF039,66,254,254,72,0.5560
5,TP2OO,71,357,260,86,0.2878
6,Serial No;,130,56,100,32,0.8290
6,8C2H92,128,77,93,36,0.9873
6,UK,119,145,64,38,0.9223
6,CA,117,175,68,40,0.9707
6,Ce,186,146,80,82,0.1732
6,Serial  No:,118,588,112,30,0.7680
6,M1GL5O,124,613,90,30,0.3307
6,Câ‚¬,154,678,98,76,0.4928
6,Seral No:,99,987,118,37,0.4470
6,SNJA1I,99,1013,99,40,0.3861
6,YS(6,83,1079,180,90,0.0965
6,MaDEl,211,223,53,31,0.0737
